**********TEST ON************************Sun Also Rises**************('[0.9999246]', 'book i ? 1 ? ? was once ? ? ? of ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? you ” ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” he was all teeth and lips ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? a great friend of mine ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.36963686]', '“damn good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the music stopped and we started toward the table where the count sat ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then the music started again and we danced ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i looked at the count ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was sitting at the table smoking a cigar ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the music stopped again ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? go over ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? started toward the table ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the music started and again we danced tight in the crowd ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you are a rotten dancer ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? the best dancer i know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? splendid ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? got his points ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “i like him ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? damned fond of him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? going to marry him ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i ? thought about him for a week ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you write him ” “not i ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.065301e-05]', 'never write letters ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? bet he ? to you ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.1994114e-05]', 'damned good letters too ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “when are you going to get married ” “how do i know as soon as we can get the ? ? ? ? ?')
('[0.18742159]', '? trying to get his mother to put up for it ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? i help you ” ? be an ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? people have ? of money ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the music stopped ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we walked over to the table ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the count stood up ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.3573637e-05]', '“very nice ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you looked very very nice ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you dance count ” i asked ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? too old ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “oh come off it ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“my dear i would do it if i would enjoy it ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i enjoy to watch you dance ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? dance again for you some time ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i say ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.991156]', 'what about your little friend ? ” “let me tell you ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i support that boy but i ? want to have him around ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “he is rather hard ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “you know i think that ? got a future ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[4.1157007e-05]', 'but personally i ? want him around ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? rather the same way ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “he gives me the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “well ” the count shrugged his shoulders ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? his future you ? ever tell ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7911196e-05]', 'anyhow his father was a great friend of my father ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “come on ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? dance ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we danced ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it was crowded and close ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“oh darling ” ? said ? so miserable ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i had that feeling of going through something that has all happened before ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you were happy a minute ago ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the ? shouted “you ? two ? ? all gone ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? the matter ” “i ? know ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i just feel terribly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “ ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then turned to his sticks ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the feeling as in a nightmare of it all being something repeated something i had been through and that now i must go through again')
('[5.2034855e-05]', '“ ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the ? sang softly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? go ” said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“you ? mind ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “ ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” the ? shouted and grinned at ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.2657814]', '“all right ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we got out from the crowd ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? went to the dressing room ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? wants to go ” i said to the count ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he nodded ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00091615]', '“does she ? fine ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00010324]', 'you take the car ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? going to stay here for a while mr ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we shook hands ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7940998e-05]', '“it was a wonderful time ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', '“i wish you would let me get this ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” i took a note out of my pocket ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? be ridiculous ” the count said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? came over with her ? on ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she kissed the count and put her hand on his shoulder to keep him from standing up ? ? ? ? ? ? ? ?')
('[0.9806812]', 'as we went out the door i looked back and there were three girls at his table ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we got into the big car ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? gave the ? the address of her hotel ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7821789e-05]', '“no ? come up ” she said at the hotel ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she had ? and the door was unlatched ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.02054399]', '“really ” “no ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99996144]', 'please ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “good night ? ” i said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? sorry you feel rotten ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “good night ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9193994]', 'good night darling ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i ? see you again ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” we kissed standing at the door ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she pushed me away ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00048298]', 'we kissed again ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '“oh ? ” ? said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00170535]', 'she turned quickly and went into the hotel ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the ? drove me around to my flat ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i gave him twenty ? and he touched his cap and said “good night sir ” and drove off ? ? ? ? ? ?')
('[0.9542121]', 'i rang the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00783637]', 'the door opened and i went up stairs and went to bed ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9999246]', 'book ii ? 8 i did not see ? again until she came back from san ? ? ? ? ? ? ? ? ?')
('[3.260374e-05]', 'one card came from her from there ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it had a picture of the ? and said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9997508]', 'very quiet and healthy ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.96580553]', 'love to all the ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” nor did i see ? ? again ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8000603e-05]', 'weeks he did not know where but that he wanted to hold me to the fishing trip in ? we had talked about last winter')
('[0.9542121]', 'i could reach him always he wrote through his bankers ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.0577183e-05]', 'ahead so i could leave it in charge of my ? when bill ? and i should ? off to ? the end of june')
('[1.835823e-05]', 'bill ? arrived put up a couple of days at the flat and went off to ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was very cheerful and said the states were wonderful ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99936557]', 'new york was wonderful ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.0001685]', 'there had been a grand theatrical season and a whole crop of great young light ? ? ? ? ? ? ? ? ? ?')
('[0.09750068]', 'any one of them was a good prospect to grow up put on weight and ? ? ? ? ? ? ? ? ? ?')
('[1.835823e-05]', 'bill was very happy ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he had made a lot of money on his last book and was going to make a lot more ? ? ? ? ? ?')
('[0.00048298]', 'we had a good time while he was in paris and then he went off to ? ? ? ? ? ? ? ? ?')
('[2.8669834e-05]', 'he was coming back in three weeks and we would leave for ? to get in some fishing and go to the ? at ?')
('[2.8669834e-05]', 'he wrote that ? was wonderful ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then a card from budapest ? budapest is wonderful ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” then i got a wire ? on monday ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” monday evening he turned up at the flat ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i heard his ? stop and went to the window and called to him he waved and started up stairs carrying his bags ? ?')
('[0.9542121]', 'i met him on the stairs and took one of the bags ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7851591e-05]', '“well ” i said “i hear you had a wonderful trip ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “wonderful ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? is absolutely wonderful ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “how about ? ” “not so good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.545948e-05]', 'not so good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.5957823e-05]', 'it seemed better than it was ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “how do you mean ” i was getting glasses and a ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i was tight ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? strange ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.999827]', 'better have a drink ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” bill rubbed his forehead ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? thing ” he said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? know how it happened ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99981076]', 'suddenly it happened ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “last long ” ? days ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.02023816]', 'lasted just four days ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “where did you go ” ? remember ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99481964]', 'wrote you a post card ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.98037195]', 'remember that perfectly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “do anything else ” “not so sure ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.95336294]', 'possible ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “go on ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.4570694e-05]', 'tell me about it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? remember ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.4570694e-05]', 'tell you anything i could remember ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “go on ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7791986e-05]', 'take that drink and remember ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? remember a little ” bill said ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.5077333e-05]', '“remember something about a prize fight ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00015864]', 'enormous ? prize fight ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99158955]', 'had a ? in it ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.98037195]', 'remember the ? perfectly ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “go on ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “wonderful ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9998722]', 'looked like ? flowers only four times as big ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.01575255]', 'all of a sudden everybody started to throw things ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.545948e-05]', 'not me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? just knocked local boy down ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? put up his glove ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.9550323e-05]', 'wanted to make a speech ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[2.2113323e-05]', 'awful noble looking ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8537045e-05]', 'started to make a speech ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then local white boy hit him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then he knocked white boy cold ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.6497225]', 'then everybody ? to throw chairs ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? went home with us in our car ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? get his clothes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.85046e-05]', 'wore my coat ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.98037195]', 'remember the whole thing now ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.451109e-05]', 'big sporting evening ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “what happened ” ? the ? some clothes and went around with him to try and get his money ? ? ? ? ?')
('[0.18742159]', '? ? owed them money on account of ? hall ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.00184003]', 'wonder who translated was it me ” ? it ? you ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? right ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? me at all ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.622097]', 'was another fellow ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99861777]', 'think we called him the local harvard man ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.98037195]', 'remember him now ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.092953e-05]', 'studying music ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” ? you come out ” “not so good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[6.979704e-05]', 'injustice everywhere ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? promised let local boy stay ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? ? ? contract ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? knock out ? boy in ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? god ? ? ? said ? ? ? do nothing in there for forty minutes but try and let him stay ? ? ?')
('[2.8669834e-05]', 'that white boy ? ? himself swinging at me ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.9542121]', 'i never did hit him ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.18742159]', '? “did you get any money ” “no money ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.01575255]', 'all we could get was ? clothes ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.999642]', 'somebody took his watch too ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[0.99483365]', 'splendid ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[3.451109e-05]', 'big mistake to have come to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.545948e-05]', 'not so good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[7.545948e-05]', 'not so good ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7762184e-05]', '” “what became of the ? ” ? back to ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.8268824e-05]', 'lives there ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
('[1.7732382e-05]', 'married ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?')
